sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,temperature
0.8168406209619946,0.009845502661995076,0.8204016907704187,0.795649759970495,0.9667992817496517,0.7704658925047353,0.75
0.8085826213714727,0.18975859335212414,0.681922185952142,0.7934940894048873,0.2914424326118476,0.8540449605445685,0.5
0.6800214884783866,0.5207759233972941,0.589038042622382,0.9815572125276222,0.44670140065974523,0.9283851263740828,0.25
0.645308933974058,0.5930168892792927,0.529564701502072,0.9314788916106753,0.6115890978799097,0.9696342136258452,0.25
0.711219615176734,0.15428673578848306,0.8216793325280268,0.8533134019861944,0.7749001083983516,0.8505751728952163,0.5
0.7494746201118806,0.3071366302975516,0.7002861766637627,0.9138846300718516,0.540064035423931,0.6437564772441007,1.0
0.7940335796973085,0.461879061385601,0.443075607854088,0.8327687967675096,0.7365335949121492,0.4709752799389757,0.75
0.8201389516410487,0.00967490025346962,0.7966722767588107,0.6704513812012165,0.8316830244205111,0.9033214745801313,0.5
0.7140398721476087,0.407515125787641,0.7333566393028426,0.8402196407687172,0.9925562567033109,0.8566360680312487,0.25
0.7940335796973085,0.461879061385601,0.443075607854088,0.8327687967675096,0.7365335949121492,0.4709752799389757,0.5
0.6720613251385812,0.4965940948758162,0.6812256772673988,0.9624181149824991,0.7878252258165052,0.9625011522480739,1.0
0.7394373064119116,0.11676816024765656,0.8543108052029685,0.8011824593392318,0.9988510079911779,0.8809232604570894,0.5
0.8293316568334976,0.21461725836999307,0.7334533122690933,0.8305957850130261,0.5314491361628435,0.6081917164787304,1.0
0.781242770847823,0.02221450796501712,0.8661008270625653,0.8187214500612776,0.8371288557716007,0.9042350739030794,0.0
0.6962194875471136,0.3691817829351947,0.7148292228463914,0.9654095121546873,0.5625969904443491,0.7972081733423898,1.0
0.6950570130337806,0.4942904592392182,0.5747179720462761,0.9394449796976587,0.34357767863248734,0.9586764438983264,0.0
0.711219615176734,0.15428673578848306,0.8216793325280268,0.8533134019861944,0.7749001083983516,0.8505751728952163,0.0
0.7314251975493743,0.24368869802447807,0.8259726071144049,0.8141223376465379,0.9551211879679188,0.9682513129721686,0.75
0.7397737415887137,0.4335548416968281,0.5823797493779986,0.8721439841690218,0.3412585100311241,0.8683516199487917,0.5
0.80480680600703,0.11744775706070161,0.7641236265081007,0.7914140873322021,0.40986266833075213,0.9227868380236643,0.5
0.7685654717013726,0.4032392069714251,0.5971029805743221,0.9434359166601232,0.6827220822700056,0.40641638547531045,0.0
0.8475751377800421,0.20452752995302612,0.6850030287726874,0.970515051063531,0.238109331830733,0.4684831212222747,0.0
0.7784241846275096,0.453039646972062,0.5553993513223621,0.7820446587694039,0.6309544794592029,0.7601971535984238,0.0
0.6309277484807426,0.6125923815104192,0.4967987553331201,0.8743758490864741,0.9684163956349937,0.8850549964475716,0.5
0.7534237970277288,0.13468371108938254,0.819012709140964,0.9560775777640783,0.6401794901403504,0.6398557186509642,0.5
0.6962194875471136,0.3691817829351947,0.7148292228463914,0.9654095121546873,0.5625969904443491,0.7972081733423898,0.75
0.7786513009382272,0.3537290567842426,0.6485538259554567,0.8540998365863741,0.5053644945173676,0.6593678923944986,0.25
0.7428185956159602,0.45166860353200655,0.5911687379210234,0.8798456505627472,0.7898366319036737,0.5762031072051169,0.75
0.7314251975493743,0.24368869802447807,0.8259726071144049,0.8141223376465379,0.9551211879679188,0.9682513129721686,0.5
0.7784241846275096,0.453039646972062,0.5553993513223621,0.7820446587694039,0.6309544794592029,0.7601971535984238,0.5
0.7094063051407931,0.12398317355342207,0.8827463889519765,0.9861212570916745,0.6136514542957708,0.9424624115084768,0.25
0.7397737415887137,0.4335548416968281,0.5823797493779986,0.8721439841690218,0.3412585100311241,0.8683516199487917,0.0
0.6901243561196195,0.4472456840251797,0.6617392202517601,0.753234733721202,0.8254764562385306,0.9990576561511086,0.75
0.8331010360575452,0.17539687325891717,0.6528456225554446,0.802699344112293,0.17384523009891004,0.8791876829402221,0.25
0.6720613251385812,0.4965940948758162,0.6812256772673988,0.9624181149824991,0.7878252258165052,0.9625011522480739,0.0
0.7297690047983351,0.5426134294303427,0.49777569477631345,0.7838732803682906,0.9665130903883522,0.6915769079113455,0.75
0.7940335796973085,0.461879061385601,0.443075607854088,0.8327687967675096,0.7365335949121492,0.4709752799389757,0.25
0.6566285796860046,0.12071704155415754,0.8631917376550508,0.8929583171038998,0.8941791034449581,0.955685308170711,0.25
