,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
0,0.7220188601920641,0.1380161573240867,0.8646831022957593,0.9592354526175132,0.5971749583746343,0.8511872753195262
1,0.739437306411912,0.1167681602476567,0.8543108052029683,0.8011824593392319,0.998851007991178,0.8809232604570906
2,0.781242770847823,0.0222145079650174,0.8661008270625654,0.8187214500612778,0.8371288557716009,0.90423507390308
3,0.7314251975493743,0.2436886980244782,0.8259726071144051,0.814122337646538,0.9551211879679188,0.9682513129721696
4,0.6458650479191995,0.3330220571428077,0.7774660317044897,0.9275948071989116,0.9539840317254282,0.8220220817477206
5,0.6758765998347471,0.155790281536455,0.8545735479461379,0.9963433791227148,0.4345166770622982,0.9308815914771288
6,0.7140398721476089,0.407515125787641,0.733356639302843,0.8402196407687174,0.992556256703311,0.8566360680312487
7,0.5821802722498436,0.5301356642204845,0.6336831586559402,0.9906098910302644,0.9542810108758816,0.9064288835707462
8,0.6720613251385812,0.4965940948758163,0.6812256772673988,0.9624181149824992,0.7878252258165052,0.962501152248074
9,0.7808220202244396,0.2514584260321974,0.7924025629135949,0.912810439607913,0.5729006697710288,0.8185411391934562
10,0.6566285796860047,0.1207170415541579,0.863191737655051,0.8929583171039,0.8941791034449583,0.9556853081707122
11,0.7094063051407933,0.1239831735534225,0.8827463889519771,0.9861212570916746,0.613651454295771,0.942462411508478
12,0.8459649595066892,0.079543273899007,0.7935528151731135,0.8072061032555193,0.6283226512739147,0.8895967433722755
13,0.7596462025366494,0.0528955535622244,0.9050728551070324,0.9930465661355542,0.5710316469616877,0.804068825947478
14,0.6210218238483792,0.4235713615458534,0.7261239992738067,0.9352855554382706,0.8284460870935157,0.9765241689391692
15,0.6514863314284906,0.1898487074836705,0.8319206221866093,0.9813729249480116,0.5657994080587542,0.9225187030576816
16,0.7261516311947275,0.2678977629088147,0.8355866946229497,0.8757107923447592,0.9159927573341384,0.9087206137284792
17,0.7344656430307218,0.0221835262123353,0.9354437221456232,0.9561200425225204,0.9928236350577752,0.8963994686486763
18,0.7931642804772564,0.1121271074523612,0.8708007797743187,0.8752241735701244,0.963352374511849,0.7984595631095536
19,0.6791639471969716,0.1055206108991213,0.8636944976259695,0.961150836398864,0.3209369655979968,0.9907372350615268
20,0.7592236198086659,0.1889132476659625,0.8605810534318555,0.9669537702284756,0.5189798773901467,0.8536655483732691
21,0.7553354625798976,0.2298686318999586,0.8100579815668457,0.8292453658179962,0.9009906043234152,0.9475281890701766
22,0.7893096750397062,0.2791125331509156,0.7625157219909879,0.995534452985971,0.2693012824846976,0.8962663248824388
23,0.8302125698725683,0.1446581516303589,0.794131280999144,0.7832360278739017,0.8964471770793748,0.8943759557988442
24,0.7928996419141421,0.2216636816643256,0.834370770347135,0.968584258437609,0.9137082297950586,0.6121707721166282
25,0.8216735394429345,0.0778720527329075,0.8630896526047449,0.8596483094820344,0.7668384756772842,0.8946503885004725
26,0.7100226285743965,0.329143990939806,0.8257173773772711,0.940540658877262,0.9701971276323073,0.8059789890344882
27,0.819998890196496,0.2492415523368118,0.766487851855106,0.7333519078036839,0.8064370491695737,0.9951209325718204
28,0.8136270929698773,0.3354179929570502,0.7288363872984729,0.9810376886794804,0.2762776415600502,0.9477820641860696
29,0.6139982160174683,0.2079963868350817,0.8264443482685753,0.960517724078906,0.9554804614114722,0.8446930197059442
30,0.7475752292628681,0.3288405841546,0.7855954780624598,0.9841921547948086,0.604199007896861,0.8896378518990873
31,0.7878591844888023,0.4002889809652823,0.6833490982171333,0.861567920732168,0.8514550147404547,0.8149710722380841
32,0.8226610468210749,0.3224448199435138,0.7129748404430613,0.961582237889533,0.3107367366417574,0.9301928066258917
33,0.8116502094635898,0.0595015596305256,0.8668121524191412,0.9465275044767631,0.3555778308044027,0.947719056637084
34,0.8395429283115385,0.2138968601553343,0.7850838118368426,0.8741446350402273,0.4808758346754284,0.9792568178555396
35,0.8252088867313997,0.2240410605769844,0.7692446256827993,0.909439547700765,0.5240105702104932,0.8615525986070679
36,0.738553167928805,0.1382114648838645,0.8531244127440353,0.9706160664491512,0.707604621889621,0.7916188275285636
37,0.7071091485701263,0.108692164664308,0.9038638594262874,0.8896301201086088,0.9327743390313236,0.9319102764368022
38,0.8453415683397085,0.1296276113359324,0.8266362253614832,0.834698996258692,0.795496989578728,0.9015758101939358
39,0.8762182569670443,0.2013382785479669,0.735458256716695,0.7860597671018256,0.7040434684856604,0.9194724393693086
40,0.7402189984663757,0.2550851552217269,0.8714205595859689,0.972507658322008,0.933410395004076,0.8248162687187683
41,0.7329857053390004,0.0096217812394504,0.8845882449076093,0.9506117643911186,0.5792135771848365,0.8884538589259372
42,0.7757155922384367,0.265162558148904,0.7645539409900773,0.7706871635786591,0.9516604691940406,0.9613344313273386
43,0.7111966419708381,0.3925089166593105,0.7635583163616467,0.8411997219051884,0.8748184927764329,0.9712836906089156
44,0.7858580004939508,0.4326483975786632,0.7002820183321711,0.8958091105221,0.8127423757260728,0.8235979490186154
45,0.8663235522718651,0.2225706541144143,0.7530062487979082,0.7837583938179489,0.8705124855497206,0.9040806599107268
46,0.872585374730891,0.097793827221381,0.793854498105421,0.903143433999094,0.663521866321019,0.7751482341623833
47,0.787200082142412,0.0807989119480491,0.8947982336005816,0.9162485607128924,0.893377039003558,0.7314067700997288
48,0.8173087847277504,0.1306870822932469,0.81886153058895,0.9943776868207006,0.0454916794921404,0.9930851966057316
49,0.8359048347244934,0.1411622290656658,0.8318773372552709,0.9910679960789154,0.0925110468218517,0.957943535279054
50,0.8081561237051321,0.0495856506782369,0.8443611374615402,0.8621546384349874,0.9119439614829176,0.7938803432997463
51,0.7431973053211182,0.1331442789493391,0.9233632407823036,0.9564325008557436,0.974499563011905,0.9445997163692376
52,0.6981908037898016,0.163677723578605,0.8570364711697684,0.8509219839405215,0.9819022187403644,0.8274800216255005
53,0.9034474955549626,0.0647044784198297,0.7366185903466574,0.7933988132478775,0.7679877459817391,0.948594622810638
54,0.884712940847983,0.2175074880449364,0.7266224710593852,0.959044695571023,0.2077885780840131,0.9393548605254932
55,0.8095604564425294,0.1031243451737559,0.8930260979314896,0.9871049449601114,0.6462316302525912,0.8027810863379168
56,0.90728924395066,0.1169304650227652,0.7081045372728455,0.8336853001058983,0.5635138766746253,0.9869456525144872
57,0.8364007237501205,0.1427137832936186,0.8397979076172443,0.860211416340592,0.6549683157760731,0.8912721850698766
58,0.7879227622682171,0.031913738566483,0.8861454466077808,0.8860620488468693,0.7095075657201803,0.996816700256842
59,0.6809052315277581,0.0573558707813534,0.850651019456689,0.8658663371652682,0.7644722491694231,0.9464279811159172
60,0.7361648136993358,0.503986804628905,0.5990708893126464,0.8065377773473101,0.9610685385904628,0.9656966875581052
61,0.9259862944157934,0.1219267059300456,0.684774711701255,0.8857453935684915,0.3337435410257396,0.970470414559211
62,0.8713043452096473,0.2575813248239578,0.672819137199226,0.7791349061028818,0.9810758671246224,0.8364300877483434
63,0.8559520633071181,0.1312106068691073,0.7671679378918431,0.8393357363688174,0.5194566157246453,0.9802466592810284
64,0.8454717727690518,0.358281164960295,0.6900471362394384,0.8117130084728588,0.9902659020280724,0.838595319790965
65,0.7863911202946817,0.3087799905194091,0.7996907250964433,0.9364893318196864,0.3755771158880467,0.998929763634477
66,0.8579293279827042,0.1900895825583448,0.7962488951069563,0.9641497486367506,0.2846808919801544,0.8709741062522206
67,0.875490483067113,0.293129341090301,0.6987362843214294,0.8882761561354884,0.8968559997094646,0.7061226490591181
68,0.7384521968997492,0.0829638151229121,0.8835180116916594,0.805298210948693,0.7888174832832224,0.9898931360748664
69,0.9211262292418452,0.2209771166562381,0.6403465085482917,0.7994573588810151,0.92590082486138,0.9385847867559052
70,0.7062100999875602,0.6215771072923204,0.5652176906383517,0.976594239149712,0.9360396179608514,0.8712322118740764
71,0.9019999460813548,0.2372017604097412,0.6917916139132385,0.8898092995978395,0.7694955190791848,0.7510900883832713
72,0.8454685339507847,0.2773144516409385,0.7172494854904541,0.8444842206783544,0.8353349001499518,0.8300183881653214
73,0.7894537318866336,0.4686531625511204,0.6785613122885543,0.9783987101240598,0.5540512817577004,0.9781379875258336
74,0.9558872872904484,0.1251369945215045,0.6145388318076082,0.867505842680047,0.8822692393819918,0.8909095754490564
75,0.7870749168520523,0.343963018638264,0.7986465990790202,0.8947057739663301,0.8922373797118026,0.8387672558453848
76,0.7278311061973314,0.1738659035541429,0.8847813046346164,0.9365564629421748,0.8962969086307024,0.7538730146265294
77,0.7115877625804496,0.5740688234132442,0.6038482280100264,0.9639507412148,0.8683178281850655,0.9434511467711696
78,0.934539838925291,0.2134300007662382,0.6256394751133633,0.8818332309678604,0.7463026294707916,0.8884598246953983
79,0.7576063492977871,0.0042125719932592,0.9101579292845564,0.8856459735348364,0.617309718865998,0.8911399085395293
80,0.859683701955121,0.173215767773207,0.8253293353872788,0.8443949700446828,0.9534188602915948,0.8509589861891934
81,0.8621459806703956,0.1374062602657072,0.77450675255967,0.944735852223742,0.5008861773960911,0.8013211379648956
82,0.8897668005436948,0.4175404894281379,0.5047995504331209,0.8678641136981926,0.9157855234522856,0.8818959255479142
83,0.7374831787667714,0.3399336020944205,0.7240295306370456,0.8851817476386846,0.6083815300939069,0.9896266722901812
84,0.7788233412191754,0.0738106110659174,0.8952316671786315,0.9766475239603444,0.6736403934688764,0.9060932507593148
85,0.9085699484020106,0.0644891754489007,0.7288601057749197,0.8373206440235603,0.6886659641872127,0.9319783699375858
86,0.8541720909967531,0.2635162559767323,0.7827437131689832,0.8960246076723056,0.9950158789873496,0.7101310674888422
